MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20,4.0,100.0,18494,1.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,2.0,6,5,2005,2005,1.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,0.0,6.0,0.0,1324.0,1324.0,1.0,0.0,1.0,5.0,1324,0,0,1324,0.0,0.0,2,0,3,1,2.0,6,7.0,0,3.0,1.0,2005.0,0.0,2.0,430.0,5.0,5.0,2.0,36,23,0,0,0,0,3.0,4.0,1.0,0,1,2010,9.0,4.0
120,4.0,43.0,3203,1.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,2.0,7,5,2006,2006,1.0,1.0,13.0,14.0,1.0,14.0,2.0,4.0,2.0,2.0,4.0,0.0,2.0,16.0,6.0,0.0,1129.0,1145.0,1.0,0.0,1.0,5.0,1145,0,0,1145,0.0,0.0,2,0,2,1,2.0,6,7.0,0,3.0,1.0,2006.0,0.0,2.0,437.0,5.0,5.0,2.0,100,116,0,0,0,0,3.0,4.0,1.0,0,1,2010,9.0,4.0
80,4.0,67.0,13300,1.0,1.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,7.0,7,5,2004,2004,1.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,326.0,6.0,0.0,58.0,384.0,1.0,0.0,1.0,5.0,744,630,0,1374,1.0,0.0,2,1,3,1,2.0,7,7.0,1,2.0,3.0,2004.0,0.0,2.0,400.0,5.0,5.0,2.0,100,0,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
60,4.0,63.0,8577,1.0,1.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,7,5,2004,2004,1.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,0.0,6.0,0.0,847.0,847.0,1.0,0.0,1.0,5.0,847,886,0,1733,0.0,0.0,2,1,3,1,2.0,7,7.0,1,2.0,3.0,2004.0,0.0,2.0,433.0,5.0,5.0,2.0,144,48,0,0,0,0,3.0,4.0,1.0,0,4,2010,9.0,4.0
60,4.0,60.0,17433,1.0,1.0,1.0,3.0,0.0,1.0,0.0,15.0,2.0,2.0,0.0,5.0,8,5,1998,1998,3.0,1.0,13.0,14.0,1.0,114.0,2.0,4.0,2.0,0.0,4.0,4.0,6.0,0.0,6.0,0.0,1629.0,1629.0,1.0,0.0,1.0,5.0,1645,830,0,2475,0.0,0.0,2,1,4,1,2.0,7,7.0,1,5.0,1.0,1998.0,0.0,3.0,962.0,5.0,5.0,2.0,23,172,0,0,256,0,3.0,4.0,1.0,0,1,2010,9.0,4.0
20,4.0,73.0,8987,1.0,1.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,8,5,2005,2006,1.0,1.0,13.0,14.0,1.0,226.0,2.0,4.0,2.0,2.0,4.0,3.0,6.0,0.0,6.0,0.0,1595.0,1595.0,1.0,0.0,1.0,5.0,1595,0,0,1595,0.0,0.0,2,0,2,1,2.0,6,7.0,1,2.0,1.0,2005.0,2.0,3.0,880.0,5.0,5.0,2.0,144,0,0,0,0,0,3.0,4.0,1.0,0,5,2010,9.0,4.0
20,1.0,92.0,9215,1.0,1.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,7,5,2009,2010,3.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,0.0,6.0,0.0,1218.0,1218.0,1.0,0.0,1.0,5.0,1218,0,0,1218,0.0,0.0,2,0,2,1,2.0,4,7.0,0,3.0,1.0,2009.0,2.0,2.0,676.0,5.0,5.0,2.0,0,136,0,0,0,0,3.0,4.0,1.0,0,4,2010,7.0,5.0
20,1.0,84.0,10440,1.0,1.0,3.0,3.0,0.0,0.0,0.0,21.0,2.0,2.0,0.0,2.0,6,5,2005,2005,1.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,0.0,4.0,4.0,2.0,1414.0,6.0,0.0,54.0,1468.0,1.0,0.0,1.0,5.0,1468,0,0,1468,1.0,0.0,2,0,2,1,2.0,6,7.0,1,2.0,1.0,2005.0,0.0,2.0,528.0,5.0,5.0,2.0,0,102,0,0,216,0,3.0,4.0,1.0,0,5,2010,9.0,4.0
60,4.0,70.0,11920,1.0,1.0,3.0,3.0,0.0,4.0,0.0,20.0,2.0,2.0,0.0,5.0,7,5,2004,2004,1.0,1.0,13.0,14.0,1.0,122.0,2.0,4.0,2.0,2.0,4.0,0.0,6.0,0.0,6.0,0.0,831.0,831.0,1.0,0.0,1.0,5.0,831,828,0,1659,0.0,0.0,2,1,3,1,2.0,8,7.0,0,3.0,1.0,2004.0,2.0,2.0,484.0,5.0,5.0,2.0,144,68,0,0,0,0,3.0,4.0,1.0,0,4,2010,9.0,4.0
30,3.0,70.0,9800,1.0,1.0,3.0,3.0,0.0,0.0,0.0,20.0,1.0,2.0,0.0,2.0,5,5,1920,1950,1.0,1.0,14.0,15.0,2.0,0.0,3.0,1.0,0.0,4.0,4.0,4.0,6.0,0.0,6.0,0.0,816.0,816.0,1.0,4.0,0.0,0.0,1012,0,0,1012,0.0,0.0,1,0,2,1,4.0,5,7.0,0,3.0,5.0,1920.0,3.0,1.0,429.0,5.0,5.0,2.0,121,0,80,0,0,0,3.0,4.0,1.0,0,4,2010,9.0,4.0
20,4.0,39.0,15410,1.0,1.0,0.0,3.0,0.0,1.0,0.0,19.0,7.0,2.0,0.0,2.0,6,6,1974,2002,3.0,1.0,10.0,11.0,0.0,250.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,126.0,2.0,859.0,223.0,1208.0,1.0,0.0,1.0,5.0,1494,0,0,1494,1.0,0.0,2,0,3,1,4.0,7,7.0,2,1.0,1.0,1974.0,0.0,2.0,461.0,5.0,5.0,2.0,296,0,186,0,0,0,3.0,0.0,1.0,0,4,2010,9.0,0.0
60,4.0,85.0,13143,1.0,1.0,0.0,3.0,0.0,4.0,0.0,15.0,2.0,2.0,0.0,5.0,8,5,1993,1993,1.0,1.0,6.0,7.0,1.0,504.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,250.0,2.0,981.0,0.0,1231.0,1.0,0.0,1.0,5.0,1251,1098,0,2349,1.0,0.0,2,1,4,1,2.0,9,7.0,1,5.0,1.0,1993.0,2.0,3.0,762.0,5.0,5.0,2.0,32,130,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
60,4.0,88.0,11134,1.0,1.0,3.0,3.0,0.0,4.0,0.0,15.0,2.0,2.0,0.0,5.0,8,5,1992,1993,1.0,1.0,6.0,6.0,1.0,180.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,1129.0,6.0,0.0,261.0,1390.0,1.0,0.0,1.0,5.0,1402,823,0,2225,1.0,0.0,2,1,4,1,2.0,7,7.0,1,5.0,1.0,1992.0,2.0,3.0,713.0,5.0,5.0,2.0,198,30,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
120,1.0,25.0,4835,1.0,1.0,0.0,3.0,0.0,1.0,0.0,21.0,2.0,2.0,4.0,2.0,7,5,2004,2005,1.0,1.0,8.0,8.0,2.0,0.0,2.0,4.0,2.0,0.0,4.0,0.0,2.0,1298.0,6.0,0.0,190.0,1488.0,1.0,0.0,1.0,5.0,1488,0,0,1488,1.0,0.0,2,0,2,1,2.0,6,7.0,1,2.0,1.0,2004.0,0.0,2.0,506.0,5.0,5.0,2.0,168,50,0,0,0,0,3.0,4.0,1.0,0,3,2010,9.0,4.0
160,1.0,39.0,3515,1.0,2.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,4.0,5.0,7,5,2004,2004,1.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,0.0,6.0,0.0,840.0,840.0,1.0,0.0,1.0,5.0,840,840,0,1680,0.0,0.0,2,1,2,1,2.0,3,7.0,0,3.0,1.0,2004.0,2.0,2.0,588.0,5.0,5.0,2.0,0,111,0,0,0,0,3.0,4.0,1.0,0,1,2010,9.0,4.0
160,1.0,30.0,3215,1.0,2.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,4.0,5.0,7,5,2004,2004,1.0,1.0,8.0,8.0,1.0,120.0,2.0,4.0,2.0,2.0,4.0,0.0,2.0,280.0,6.0,0.0,320.0,600.0,1.0,0.0,1.0,5.0,600,600,0,1200,0.0,0.0,2,1,2,1,2.0,4,7.0,0,3.0,5.0,2004.0,2.0,2.0,480.0,5.0,5.0,2.0,0,172,0,0,0,0,3.0,4.0,1.0,0,4,2010,3.0,4.0
160,1.0,24.0,2544,1.0,2.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,3.0,5.0,7,5,2004,2005,1.0,1.0,8.0,8.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,368.0,0.0,42.0,190.0,600.0,1.0,0.0,1.0,5.0,600,600,0,1200,1.0,0.0,2,1,2,1,2.0,4,7.0,0,3.0,5.0,2004.0,2.0,2.0,480.0,5.0,5.0,2.0,0,172,0,0,0,0,3.0,4.0,1.0,0,2,2010,9.0,4.0
160,1.0,24.0,2544,1.0,2.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,3.0,5.0,6,5,2005,2005,1.0,1.0,13.0,14.0,1.0,216.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,376.0,6.0,0.0,224.0,600.0,1.0,0.0,1.0,5.0,600,636,0,1236,1.0,0.0,2,1,2,1,2.0,4,7.0,0,3.0,5.0,2005.0,2.0,2.0,480.0,5.0,5.0,2.0,0,166,0,0,0,0,3.0,4.0,1.0,0,5,2010,9.0,4.0
160,1.0,0.0,2980,1.0,1.0,3.0,3.0,0.0,0.0,0.0,21.0,2.0,2.0,4.0,5.0,6,5,2000,2000,1.0,1.0,8.0,8.0,1.0,1159.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,466.0,6.0,0.0,290.0,756.0,1.0,0.0,1.0,5.0,756,756,0,1512,1.0,0.0,2,1,2,1,2.0,5,7.0,0,3.0,5.0,2000.0,3.0,2.0,440.0,5.0,5.0,2.0,0,32,0,0,0,0,3.0,4.0,1.0,0,5,2010,9.0,4.0
160,1.0,0.0,2403,1.0,1.0,0.0,3.0,0.0,2.0,0.0,21.0,2.0,2.0,4.0,5.0,7,5,2003,2003,1.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,244.0,6.0,0.0,286.0,530.0,1.0,0.0,1.0,5.0,530,550,0,1080,0.0,0.0,2,1,2,1,2.0,4,7.0,0,3.0,1.0,2003.0,2.0,2.0,496.0,5.0,5.0,2.0,0,50,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
20,1.0,57.0,12853,1.0,2.0,0.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,8,5,2010,2010,1.0,1.0,5.0,5.0,2.0,0.0,2.0,4.0,2.0,0.0,3.0,4.0,2.0,1032.0,6.0,0.0,610.0,1642.0,1.0,0.0,1.0,5.0,1418,0,0,1418,1.0,0.0,1,1,1,1,2.0,6,7.0,1,2.0,1.0,2010.0,2.0,3.0,852.0,5.0,5.0,2.0,160,192,0,224,0,0,3.0,4.0,1.0,0,4,2010,7.0,5.0
60,1.0,68.0,7379,1.0,1.0,0.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,5.0,8,5,2000,2000,1.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,484.0,6.0,0.0,491.0,975.0,1.0,0.0,1.0,5.0,975,873,0,1848,1.0,0.0,2,1,3,1,2.0,7,7.0,1,5.0,1.0,2000.0,2.0,2.0,592.0,5.0,5.0,2.0,280,184,0,0,0,0,3.0,4.0,1.0,0,4,2010,9.0,4.0
20,1.0,80.0,8000,1.0,1.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,7,5,2002,2002,1.0,1.0,13.0,14.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,833.0,6.0,0.0,659.0,1492.0,1.0,0.0,1.0,5.0,1492,0,0,1492,1.0,0.0,2,0,3,1,2.0,6,7.0,1,2.0,1.0,2002.0,2.0,2.0,596.0,5.0,5.0,2.0,277,137,0,0,0,0,3.0,4.0,1.0,0,4,2010,9.0,4.0
20,4.0,0.0,10456,1.0,1.0,0.0,3.0,0.0,4.0,0.0,14.0,2.0,2.0,0.0,2.0,6,6,1967,1967,3.0,1.0,6.0,6.0,1.0,120.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,506.0,6.0,0.0,1323.0,1829.0,1.0,2.0,1.0,5.0,1829,0,0,1829,1.0,0.0,2,0,4,1,4.0,8,7.0,0,3.0,1.0,1967.0,2.0,2.0,535.0,5.0,5.0,2.0,0,76,0,0,0,0,3.0,4.0,1.0,0,5,2010,9.0,4.0
60,4.0,80.0,10791,1.0,1.0,3.0,3.0,0.0,4.0,0.0,14.0,2.0,2.0,0.0,5.0,6,5,1993,1993,1.0,1.0,8.0,8.0,2.0,0.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,1137.0,6.0,0.0,143.0,1280.0,1.0,0.0,1.0,5.0,1280,1215,0,2495,1.0,0.0,2,1,4,1,2.0,9,7.0,1,5.0,1.0,1993.0,3.0,2.0,660.0,5.0,5.0,2.0,224,32,0,0,0,0,3.0,4.0,1.0,0,3,2010,9.0,4.0
